timestamp,row_index,column,original_value,cleaned_value,fix_type,rule_triggered
2026-05-16T14:55:12.372810,146,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372811,147,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372811,148,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372812,149,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372813,150,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372813,151,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372814,152,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372815,153,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372815,154,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.372816,155,new_cases_total,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373006,117,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373007,118,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373008,119,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373009,120,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373009,121,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373010,122,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373011,123,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373013,124,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373013,125,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373014,126,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373015,127,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373015,128,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373016,129,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373016,130,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373017,131,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373018,132,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373018,133,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373019,134,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373020,135,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373020,136,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373021,137,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373022,138,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373022,139,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373023,140,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373023,141,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373024,142,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373025,143,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373025,144,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373026,145,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373027,146,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373027,147,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373028,148,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373028,149,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373029,150,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373030,151,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373030,152,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373031,153,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373031,154,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373032,155,new_cases_female,NaN,0,MISSING_VALUE,Zero_Filling
2026-05-16T14:55:12.373180,117,new_cases_male,NaN,0,MISSING_VALUE,Zero_Filling
